Field=#~Integer~#~50|Field=Comment~String~Comment~155|Field=Description~String~Description~161|Field=Designator~String~Designator~119|Field=Footprint~String~Footprint~106|Field=LibRef~String~LibRef~256|Field=Quantity~Integer~Quantity~36|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~AL1000.PrjPcb|ReportField=ProjectFullPath~M:\lyd\GL696\GIT\GLHW\AL1000\Ver1.00\AL1000.PrjPcb|ReportField=Title~Bill of Materials For Project [AL1000.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~500|ReportField=ReportTime~16:56:19|ReportField=ReportDate~2020-5-3|ReportField=ReportDateTime~2020-5-3 16:56:19|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020-5-3|ReportField=CurrentTime~16:55:49|ReportField=Date~|ReportField=DocumentFullPathAndName~M:\lyd\GL696\GIT\GLHW\AL1000\Ver1.00\AL1000.SchDoc|ReportField=DocumentName~AL1000.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020-4-20|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A1(594x841mm):PaperIndex=135|ReportField=ProjectName~AL1000.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~AL1000.PrjPcb|ReportField=DataSourceFullPath~M:\lyd\GL696\GIT\GLHW\AL1000\Ver1.00\AL1000.PrjPcb
30|DB9/F||P13|DB9P/F|DB9|1
31|MMBT5401 2L|三极管|Q1_1, Q1_2, Q1_3, Q2_1, Q2_2, Q2_3, Q8_1, Q8_2, Q8_3, Q9, Q11|SOT-23(SOT-23-3)|SOT-23 MMBT5401 2L|11
32|IRLR024N|HEXFET Power MOSFET|Q4_1, Q4_2, Q4_3|TO-252AA_N|IRLR024N|3
33|IRFR5305|HEXFET Power MOSFET|Q7_1, Q7_2, Q7_3|TO-252AA_N|IRFR5305|3
34|2K2|Resistor|R1, R2, R17, R18, R19, R20, R21, R87|0805_R|Res1|8
35|1K5|Resistor|R3, R4|0805_R|Res1|2
36|49.9|Resistor|R5, R6, R7, R8|0805_R|Res1|4
37|220|Resistor|R9, R10|0805_R|Res1|2
38|33|Resistor|R11, R12, R13, R14, R15, R16, R22, R90, R92, R96, R97, R101, R102|0805_R|Res1|13
39|4.87K|Resistor|R23|0805_R|Res1|1
40|1M|Resistor|R24, R93, R98, R103|1206_R|Res1|4
41|1K|Resistor, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, Resistor|R25, R31, R55, R56_1, R56_2, R56_3, R105|0805_R|res1, RMK2012KBxxx（10～1M）F, RMK2012KBxxx（10～1M）F, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, Res1|7
42|100K|Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, 贴片电阻, Resistor|R26, R27, R35_1, R35_2, R35_3, R40_1, R40_2, R40_3, R46_1, R46_2, R46_3, R47_1, R47_2, R47_3, R54_1, R54_2, R54_3, R57_1, R57_2, R57_3, R58_1, R58_2, R58_3, R61_1, R61_2, R61_3, R124|0805_R|Res1, Res1, Res2, Res2, Res2, Res2, Res2, Res2, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, 0805 100KΩ (1003) 1%, Res1|27
43|10K|Resistor, Resistor, 贴片电阻, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor, Resistor|R28, R30, R32, R38_1, R38_2, R38_3, R43_1, R43_2, R43_3, R45, R50, R52, R64_1, R64_2, R64_3, R65_1, R65_2, R65_3, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R84, R85, R86, R107, R109, R110, R111, R112, R113, R114, R115|0805_R|Res1, res1, RMK2012KBxxx（10～1M）F, Res2, Res2, Res2, Res2, Res2, Res2, Res1, Res1, Res1, Res2, Res2, Res2, Res2, Res2, Res2, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1, Res1|41
44|NI|贴片电阻|R29|0805_R|RMK2012KBxxx（10～1M）F|1
